"Bundesland";"Hauptmietwohnungen in 1 000";"Miete mit Betriebskosten in Euro pro Wohnung";"Miete ohne Betriebskosten in Euro pro Wohnung";"Betriebskosten in Euro pro Wohnung"
"Burgenland";"25,9";"487,9";"369,5";"123,4"
"Kärnten";"87";"440,1";"316,7";"125,7"
"Niederösterreich";"200,4";"518";"376,2";"144,6"
"Oberösterreich";"225,5";"518,1";"383,9";"137"
"Salzburg";"87";"626,5";"481,5";"147,9"
"Steiermark";"186,4";"496,7";"372,1";"127,2"
"Tirol";"111,3";"634,5";"500,5";"137,5"
"Vorarlberg";"59,9";"661,8";"518,1";"149"
"Wien";"699,9";"575,2";"419,7";"156,9"
"Österreich";"1683,3";"553,4";"410,4";"145,4"