Kategorie,Produkt,icons,colors,Preis,Quelle,,,,,
Essen & Trinken,Laib Brot,brot,ECC6C6,"5,90 €",shop.billa.at,,,,,
Essen & Trinken,1 Liter Milch,milch,ECC6C6,"1,59 €",shop.billa.at,,,,,
Alkohol & Tabak,"1 Dose Bier 0,5L",bier,E9D4BE,"1,20 €",shop.billa.at,,,,,
Alkohol & Tabak,1 Packung Marlboro,marlboro,E9D4BE,"5,35 €",https://www.trafikantenzeitung.at/industrie-grosshandel/die-zigarettenpreise-ab-1-april-2022-48296,,,,,
Bekleidung & Schuhe,1 Tshirt,tshirt,E8E9BE,"30,00 €",,,,,,
Wohnen & Energie,Miete mit Betriebskosten,miete,D4E9BE,"553,40 €","553,40 €",,,,,--> siehe CSV Datei
Wohnen & Energie,1l Benzin,benzin,D4E9BE,"2,00 €",https://de.statista.com/statistik/daten/studie/796570/umfrage/durchschnittlicher-preis-fuer-einen-liter-benzin-in-oesterreich/#professional,,,,,
Wohnungsausstattung,Bett,bett,BAE8BC,"149,00 €",https://www.ikea.com/at/de/p/kleppstad-bettgestell-weiss-vissle-beige-00492677/,,,,,
Wohnungsausstattung,Waschmaschine,waschmaschine,BAE8BC,"499,00 €",https://www.mediamarkt.at/de/product/_samsung-ww80ta049ae-eg-waschmaschine-wei%C3%9F-frontlader-8-kg-1400-u-min-ecobubble-1807221.html,,,,,
Gesundheit,Aspirin,aspirin,BAE8E7,"9,45 €",https://www.shop-apotheke.at/arzneimittel/A4226089/aspirin-c-forte.htm?eventName=click%20on%20product%20list%20item&eventType=click&objectIDs=[A4226089]&position=3&query=ASPIRIN&queryID=a0dbc95a789a5f757893ce7f438a4e1c,,,,,
Gesundheit,Mundhygiene,mundhygene,BAE8E7,"100,00 €",https://drsmile.at/blog/professionelle-zahnreinigung/?utm_source=google&utm_medium=cpc&utm_campaign=at-de_perf-max_google-all_mid-funnel_performance-max&gclid=CjwKCAjwrZOXBhACEiwA0EoRD3fBFwVwycTDIRl_yaX1tCbU-Xv689oio5R39Emyh47NA1SpK_h4ExoC7TQQAvD_BwE,,,,,
Verkehr,Klimaticket Classic pro Monat,klimaticket,B3BFE6,"91,25 €",https://www.klimaticket.at/de/?mtm_campaign=klimaticket&mtm_kwd=sea&mtm_medium=ppc-google#wieviel-kostet-das-klimaticket,,,,,
Verkehr,VW Polo,polo,B3BFE6,"22.490,00 €",https://www.autogott.at/filter?h={%22new%22:%22c63594026739ca5c4db55128fc664b30%22},,,,,
Kommunikation,Handyrechnung,handyrechnung,CFB3E6,"14,90 €",https://www.hot.at/tarife.html,,,,,
Kommunikation,Internet Zuhause / Monat,internet,CFB3E6,"25,00 €",https://durchblicker.at/telekom/vergleich/ergebnis#calcid=b234655c767a1d26d0e9fe8bfc68f1945c098df3,,,,,
Freizeit/Sport/Hobby,Fitinn/Monat,fitinn,E6B3DF,"20,00 €",https://fitinn.at/mitgliedschaft/,,,,,
Freizeit/Sport/Hobby,Kinoticket,kinoticket,E6B3DF,"9,00 €",https://de.statista.com/statistik/daten/studie/304461/umfrage/durchschnittlicher-eintrittspreis-fuer-einen-kinobesuch-in-oesterreich/,,,,,
Freizeit/Sport/Hobby,Flugticket hin&retour Wien-Mallorca Hauptsaison,flugticket,E6B3DF,"200,00 €",https://www.checkfelix.com/flights/VIE-PMI/2022-08-03/2022-08-07?sort=bestflight_a,,,,,
Bildung,ÖH Beitrag,oehBeitrag,E6B3C5,"21,20 €",https://studieren.univie.ac.at/kontakt/aktuelles/aktuellmeldungen/detail/news/die-oeh-erhoeht-den-beitrag-ab-wintersemester-202223/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=2df5eda72cfd67be743c919fd2ce1e1c,,,,,
Bildung,Schulrucksack Testsieger,schulrucksack,E6B3C5,"100,00 €",https://www.computerbild.de/test-vergleich/schulrucksack-test/,,,,,
"Café, Restaurant",Cappuccino/Melange,cappuccino,DDA498,"3,40 €",https://kurier.at/freizeit/essen-trinken/cappuccino-preis-index-wo-kaffee-am-teuersten-ist/401429625,,,,,
"Café, Restaurant",Hühnerschnitzel mit Beilage,schnitzel,DDA498,"12,50 €",https://www.derstandard.at/story/2000137716977/schnitzelpreisindex-variiert-je-nach-bundesland-stark-durch-west-ost-gefaelle,,,,,